dataset,term,component,E,P,A
usfullsurveyor2015,entrap,behavior,-2.06,1,0.47
usfullsurveyor2015,entreat,behavior,0.89,0.71,-0.06
usfullsurveyor2015,entrepreneur,identity,1.59,2,1.99
usfullsurveyor2015,entrust,behavior,2.34,2.22,-0.63
usfullsurveyor2015,entrusting,modifier,1.82,1.56,-0.45
usfullsurveyor2015,envious,modifier,-1.9,-0.77,-0.73
usfullsurveyor2015,environmentalist,identity,2.1,0.65,0.77
usfullsurveyor2015,envy,behavior,-2.37,-0.87,-0.47
usfullsurveyor2015,erratic,modifier,-1.06,-0.52,1.95
usfullsurveyor2015,escape,behavior,1.55,1.8,0.42
usfullsurveyor2015,escort,behavior,1.47,1.13,0.18
usfullsurveyor2015,esteem,behavior,2.39,1.97,0.69
usfullsurveyor2015,esteemed,modifier,2.31,2.23,0.04
usfullsurveyor2015,euphoric,modifier,3.02,2.22,1.33
usfullsurveyor2015,evade,behavior,-0.86,-0.25,-0.32
usfullsurveyor2015,evaluate,behavior,0.53,1.47,-0.39
usfullsurveyor2015,evangelical_christian,identity,0.67,0.65,0.88
usfullsurveyor2015,evangelist,identity,0.77,1.09,1.16
usfullsurveyor2015,evict,behavior,-1.9,1.95,0.93
usfullsurveyor2015,evil,modifier,-3.42,1.12,0.62
usfullsurveyor2015,evildoer,identity,-3.34,1.45,0.93
usfullsurveyor2015,ex_boyfriend,identity,-1.14,-0.57,0.39
usfullsurveyor2015,ex_convict,identity,-1,-0.91,0.31
usfullsurveyor2015,ex_girlfriend,identity,-1,0.02,0.84
usfullsurveyor2015,ex_husband,identity,-1.41,-0.51,0.13
usfullsurveyor2015,ex_wife,identity,-1.52,0.17,0.98
usfullsurveyor2015,exalt,behavior,0.72,1.08,1.08
usfullsurveyor2015,examine,behavior,0.77,1.07,-1.11
usfullsurveyor2015,exasperated,modifier,-1.93,-1.33,-0.21
usfullsurveyor2015,excitable,modifier,1.62,1.24,2.32
usfullsurveyor2015,excite,behavior,2.4,2.1,2.47
usfullsurveyor2015,excited,modifier,2.69,2.18,2.24
usfullsurveyor2015,exclude,behavior,-2.56,0.45,-0.29
usfullsurveyor2015,excuse,behavior,1.32,1.1,-0.44
usfullsurveyor2015,execute,behavior,-2.5,2.56,1.22
usfullsurveyor2015,executioner,identity,-1.77,2.77,0.25
usfullsurveyor2015,executive,identity,0.82,2.73,1.5
usfullsurveyor2015,exhaust,behavior,-0.76,0.89,1.12
usfullsurveyor2015,exhibit,behavior,-0.73,0.47,0.49
usfullsurveyor2015,exile,behavior,-1.99,2.08,0.71
usfullsurveyor2015,exonerate,behavior,1.11,2.22,0.64
usfullsurveyor2015,exorcise,behavior,-0.63,1.44,1.74
usfullsurveyor2015,expel,behavior,-1.95,2.49,1.38
usfullsurveyor2015,experience,behavior,2.2,1.84,0.03
usfullsurveyor2015,experienced,modifier,3.05,2.71,0.69
usfullsurveyor2015,expert,identity,1.98,2.8,0.48
usfullsurveyor2015,explain_something_to,behavior,2.41,2,0.01
usfullsurveyor2015,exploit,behavior,-2.99,1.4,0.87
usfullsurveyor2015,expose,behavior,-1.37,1.42,1.28
usfullsurveyor2015,exterminate,behavior,-3.06,2.68,1.8
usfullsurveyor2015,extol,behavior,0.19,0.89,0.84
usfullsurveyor2015,extort,behavior,-2.47,1.41,0.54
usfullsurveyor2015,extravagant,modifier,0.37,1.52,2.21
usfullsurveyor2015,extrovert,identity,1.33,1.69,2.66
usfullsurveyor2015,extroverted,modifier,1.25,1.63,2.38
usfullsurveyor2015,exuberant,modifier,2.35,2.11,1.7
usfullsurveyor2015,eye,behavior,-0.57,0.23,-0.71
usfullsurveyor2015,eyewitness,identity,1.6,1.82,-0.12
usfullsurveyor2015,fail,behavior,-2.51,0.04,-0.09
usfullsurveyor2015,failure,identity,-2.22,-0.82,-0.66
usfullsurveyor2015,fair,modifier,3.12,2.1,-0.27
usfullsurveyor2015,faithful,modifier,2.92,2.35,-0.74
usfullsurveyor2015,fall_in_love_with,behavior,3.04,2.54,0.53
usfullsurveyor2015,fan,identity,1.67,0.76,2.24
usfullsurveyor2015,fanatic,identity,-0.42,0.57,2.46
usfullsurveyor2015,farm_laborer,identity,1.47,-0.01,-0.2
usfullsurveyor2015,farmer,identity,2.13,0.5,-0.48
usfullsurveyor2015,fashionable,modifier,1.7,1.14,0.95
usfullsurveyor2015,fast_food_server,identity,0.67,-1.05,0.9
usfullsurveyor2015,father,identity,2.69,2.93,0.51
usfullsurveyor2015,father_in_law,identity,1.37,1.6,0.13
usfullsurveyor2015,father_my,identity,2.22,2.22,0.1
usfullsurveyor2015,favor,behavior,0.6,1.2,0.27
usfullsurveyor2015,fear,behavior,-2.56,-0.96,-0.71
usfullsurveyor2015,fearful,modifier,-2.37,-1.04,-0.71
usfullsurveyor2015,fed_up,modifier,-2.42,-0.64,0.05
usfullsurveyor2015,feed_something_to,behavior,2.95,2.25,0.01
usfullsurveyor2015,fellow,identity,1.36,0.58,-0.04
usfullsurveyor2015,felon,identity,-2.67,-0.4,0.77
usfullsurveyor2015,female,identity,1.86,1.2,0.86
usfullsurveyor2015,female,modifier,1.96,1.48,0.75
usfullsurveyor2015,feminine,modifier,1.02,0.68,0.14
usfullsurveyor2015,feminist,identity,0.83,0.86,1.55
usfullsurveyor2015,fiance_male,identity,2.28,1.83,0.63
usfullsurveyor2015,fiancee_female,identity,2.24,1.69,0.65
usfullsurveyor2015,fib_to,behavior,-1.98,0.35,0.04
usfullsurveyor2015,fickle,modifier,-1.2,-1.09,-0.06
usfullsurveyor2015,fiend,identity,-1.37,0.66,0.8
usfullsurveyor2015,fight,behavior,-2.08,0.9,2.62
usfullsurveyor2015,fighter,identity,0.62,2.36,2.17
usfullsurveyor2015,file_clerk,identity,0.58,-0.67,-1.05
usfullsurveyor2015,film_star,identity,0.48,1.77,1.76
usfullsurveyor2015,financially_back,behavior,1.89,2.34,-0.11
usfullsurveyor2015,find,behavior,1.9,1.85,0.74
usfullsurveyor2015,fine,behavior,-1.1,1.43,0.51
usfullsurveyor2015,finicky,modifier,-1.1,-0.73,0.59
usfullsurveyor2015,fire_from_a_job,behavior,-1.12,1.96,0.64
usfullsurveyor2015,fire_investigator,identity,1.95,1.66,0.43
usfullsurveyor2015,firefighter,identity,3.27,2.85,2.29
usfullsurveyor2015,firstborn,identity,1.9,1.71,0.73
usfullsurveyor2015,fisherman,identity,1.47,0.41,-0.87
usfullsurveyor2015,fix,behavior,1.37,2.15,-0.09
usfullsurveyor2015,flamboyant,modifier,0.11,0.86,2.32
usfullsurveyor2015,flatter,behavior,1.9,1.59,0.87
usfullsurveyor2015,flee,behavior,-0.48,0.12,1.04
usfullsurveyor2015,flexible,modifier,2.39,1.43,0.13
usfullsurveyor2015,flight_attendant,identity,1.51,0.44,0.31
usfullsurveyor2015,flirt,identity,0.55,1.01,1.48
usfullsurveyor2015,flirt_with,behavior,1.81,1.58,0.6
usfullsurveyor2015,flog,behavior,-2.47,1.27,2.03
usfullsurveyor2015,flunk,behavior,-1.59,1.8,-0.32
usfullsurveyor2015,flunky,identity,-1.7,-1.79,-0.53
usfullsurveyor2015,fluster,behavior,-0.32,1.2,0.81
usfullsurveyor2015,flustered,modifier,-1.53,-0.48,0.64
usfullsurveyor2015,foil,behavior,-0.67,1.15,0.52
usfullsurveyor2015,follow,behavior,-0.44,-0.02,-1.15
usfullsurveyor2015,follower,identity,-0.02,-1.21,-1.01
usfullsurveyor2015,fondle,behavior,-0.07,0.86,-0.24
usfullsurveyor2015,fool,behavior,-1.99,0.37,0.45
usfullsurveyor2015,fool,identity,-1.47,-1.6,0.74
usfullsurveyor2015,foolish,modifier,-1.99,-1.47,1.11
usfullsurveyor2015,forbid,behavior,-1.05,1.69,0.7
usfullsurveyor2015,force,behavior,-2.38,1.44,1.85
usfullsurveyor2015,foreigner,identity,0.92,-0.7,0.19
usfullsurveyor2015,foreman,identity,0.64,1.3,0.34
usfullsurveyor2015,forest_ranger,identity,2.01,0.96,-0.22
usfullsurveyor2015,forget,behavior,-1.63,0.36,-1.01
usfullsurveyor2015,forgetful,modifier,-1.84,-0.97,-0.9
usfullsurveyor2015,forgive,behavior,2.96,2.79,-1.06
usfullsurveyor2015,forgiving,modifier,2.98,2.55,-0.59
usfullsurveyor2015,forsake,behavior,-2.16,0.63,-0.04
usfullsurveyor2015,foster,behavior,2.71,2.23,-0.09
usfullsurveyor2015,foster_child,identity,1.24,-0.4,0.02
usfullsurveyor2015,foster_daughter,identity,1.5,0.08,-0.33
usfullsurveyor2015,foster_father,identity,1.89,1.68,0.19
usfullsurveyor2015,foster_mother,identity,2.24,1.77,0.29
usfullsurveyor2015,foster_parent,identity,2.16,1.83,0.36
usfullsurveyor2015,foster_son,identity,0.92,-0.52,-0.11
usfullsurveyor2015,frame,behavior,-3.42,1.15,-0.29
usfullsurveyor2015,freak,identity,-0.42,-0.36,0.61
usfullsurveyor2015,freak_out,behavior,-1.59,1,1.97
usfullsurveyor2015,free,behavior,2.86,2.53,0.58
usfullsurveyor2015,freeloader,identity,-2.27,-1.9,-0.4
usfullsurveyor2015,fretful,modifier,-1.25,-1.04,-0.01
usfullsurveyor2015,friend,identity,3.38,2.58,1.06
usfullsurveyor2015,friendly,modifier,3.1,2.24,0.64
usfullsurveyor2015,frighten,behavior,-1.56,1.41,1.76
usfullsurveyor2015,frightened,behavior,-1.29,0.9,1.39
usfullsurveyor2015,frisk,behavior,-1.16,1.05,1.09
usfullsurveyor2015,frivolous,modifier,-0.84,-0.09,1.01
usfullsurveyor2015,frown_at,behavior,-1.72,0.45,-1.1
usfullsurveyor2015,frustrate,behavior,-1.87,0.9,1.33
usfullsurveyor2015,frustrated,modifier,-2,-0.71,0.81
usfullsurveyor2015,fugitive,identity,-1.83,-0.9,0.33
usfullsurveyor2015,fun_loving,modifier,2.72,1.9,1.54
usfullsurveyor2015,fundamentalist,identity,-0.21,0.61,0.62
usfullsurveyor2015,fundraiser,identity,2.55,2.18,1.4
usfullsurveyor2015,funeral_director,identity,0.8,0.57,-1.36
usfullsurveyor2015,furious,modifier,-1.82,0.56,1.79
usfullsurveyor2015,gal,identity,1.9,0.74,0.61
usfullsurveyor2015,gambler,identity,-1.18,-1.2,1.28
usfullsurveyor2015,gamer,identity,0.23,-0.2,0.52
usfullsurveyor2015,gangster,identity,-2.18,1.27,1.95
usfullsurveyor2015,garbage_collector,identity,1.25,-0.49,0.42
usfullsurveyor2015,gas_station_attendant,identity,0.74,-1.05,-0.44
usfullsurveyor2015,gawk_at,behavior,-1.37,-0.28,-0.03
usfullsurveyor2015,gay,identity,0.59,-0.04,0.73
usfullsurveyor2015,gaze_at,behavior,0.96,0.21,-1.62
usfullsurveyor2015,geek,identity,1.49,0.53,-0.95
usfullsurveyor2015,generous,modifier,3.45,2.63,0.09
usfullsurveyor2015,genius,identity,2.02,2.63,0.05
usfullsurveyor2015,gentle,modifier,2.43,1.07,-1.89
usfullsurveyor2015,gentleman,identity,3.05,2.18,-0.25
usfullsurveyor2015,geologist,identity,1.34,0.49,-1.01
usfullsurveyor2015,german,identity,0.58,0.68,0.62
usfullsurveyor2015,get_even_with,behavior,-1.69,0.27,0.38
usfullsurveyor2015,get_to_know,behavior,2.91,2.33,0.17
usfullsurveyor2015,giddy,modifier,2.27,1.31,2.21
usfullsurveyor2015,giggle_at,behavior,0.11,0.19,0.84
usfullsurveyor2015,giggle_with,behavior,3.03,1.66,1.77
usfullsurveyor2015,girl,identity,2.1,1.41,0.74
usfullsurveyor2015,girl_scout,identity,2.12,0.04,0.99
usfullsurveyor2015,girlfriend,identity,2.08,1.37,1.01
usfullsurveyor2015,give_a_raise_to,behavior,2.8,2.32,0.49
usfullsurveyor2015,give_in_to,behavior,-0.89,-1.45,-0.75
usfullsurveyor2015,give_medical_treatment_to,behavior,3.08,2.8,1.57
usfullsurveyor2015,glad,modifier,3.17,2.41,0.76
usfullsurveyor2015,glance_at,behavior,0.65,0.07,-0.15
usfullsurveyor2015,glare_at,behavior,-1.51,0.61,-0.85
usfullsurveyor2015,gleeful,modifier,2.83,2.03,1.79
usfullsurveyor2015,gloomy,modifier,-2.34,-1.23,-2.11
usfullsurveyor2015,glorify,behavior,1,1.26,1.37
usfullsurveyor2015,glower_at,behavior,-1.61,-0.26,-0.86
usfullsurveyor2015,glum,modifier,-2.33,-1.6,-2.08
usfullsurveyor2015,glutton,identity,-1.96,-0.56,-0.37
usfullsurveyor2015,goad,behavior,-1.27,0.28,1.31
usfullsurveyor2015,god,identity,3.19,3.45,-0.46
usfullsurveyor2015,gold_digger,identity,-2.43,-0.42,0.65
usfullsurveyor2015,golfer,identity,0.78,0.34,-1.33
usfullsurveyor2015,good,modifier,3.4,2.37,-0.24
usfullsurveyor2015,good_natured,modifier,3.37,2.17,-0.21
usfullsurveyor2015,goon,identity,-1.31,-0.19,0.89
usfullsurveyor2015,gossip,identity,-2.09,0.6,1.47
usfullsurveyor2015,gossip_with,behavior,-1.47,0.33,0.96
usfullsurveyor2015,gossipy,modifier,-2.4,-0.38,2
usfullsurveyor2015,gourmet,modifier,1.7,1.16,0.29
usfullsurveyor2015,governor,identity,0.57,2.2,0.76
usfullsurveyor2015,grab,behavior,-1.33,1.14,1.56
usfullsurveyor2015,graceful,modifier,2.75,1.96,-1.12
usfullsurveyor2015,grade,behavior,-0.01,1.96,-0.61
usfullsurveyor2015,graduate_student,identity,1.91,1.11,0.05
usfullsurveyor2015,grandchild,identity,2.39,-0.48,2.24
usfullsurveyor2015,granddaughter,identity,2.01,0.53,1.13
usfullsurveyor2015,grandfather,identity,2.85,1.82,-1.01
usfullsurveyor2015,grandmother,identity,2.76,0.89,-1.03
usfullsurveyor2015,grandparent,identity,2.52,1.78,-1.28
usfullsurveyor2015,grandson,identity,2.11,0.53,1.45
usfullsurveyor2015,granny,identity,2.76,0.75,-1.52
usfullsurveyor2015,grapple_with,behavior,-0.83,0.81,1.48
usfullsurveyor2015,grasp,behavior,0.29,1.38,0.84
usfullsurveyor2015,grateful,modifier,3.15,2.28,-0.28
usfullsurveyor2015,gratify,behavior,2.65,2.37,0.88
usfullsurveyor2015,greedy,modifier,-2.45,0.29,1.09
usfullsurveyor2015,greet,behavior,2.43,1.64,1.13
usfullsurveyor2015,gregarious,modifier,0.97,1.12,1.33
usfullsurveyor2015,grief_stricken,modifier,-2.59,-0.99,-1.85
usfullsurveyor2015,grieve_for,behavior,0.4,0.78,-1.75
usfullsurveyor2015,grin_at,behavior,2.32,1.68,-0.11
usfullsurveyor2015,grind,identity,0.21,1.41,0.82
usfullsurveyor2015,groom,behavior,1.54,0.92,-0.28
usfullsurveyor2015,grouch,identity,-2.4,-1.3,-0.53
usfullsurveyor2015,grouchy,modifier,-2.2,-0.68,-0.49
usfullsurveyor2015,grouse_at,behavior,-0.98,-0.22,0.43
usfullsurveyor2015,grown_up,identity,0.99,1.8,0.06
usfullsurveyor2015,grumpy,modifier,-2.18,-0.57,-0.72
usfullsurveyor2015,guard,behavior,2.45,2.59,-0.02
usfullsurveyor2015,guest,identity,1.49,0.29,0.27
usfullsurveyor2015,guide,behavior,2.6,2.4,-0.42
usfullsurveyor2015,guilty,modifier,-2.29,-0.6,-1.14
usfullsurveyor2015,gullible,modifier,-1.55,-1.48,-0.69
usfullsurveyor2015,gunman,identity,-2.33,2.3,1.14
usfullsurveyor2015,guy,identity,0.71,1.37,0.95
usfullsurveyor2015,haggle_with,behavior,-0.26,0.84,1.59
usfullsurveyor2015,hail,behavior,0.23,0.7,0.91
usfullsurveyor2015,hairdresser,identity,1.56,-0.01,1.01
usfullsurveyor2015,hairstylist,identity,1.62,0.39,0.71
usfullsurveyor2015,half_brother,identity,0.87,0.41,0.33
usfullsurveyor2015,half_sister,identity,0.77,0.3,0.39
usfullsurveyor2015,half_wit,identity,-1.49,-1.76,-0.72
usfullsurveyor2015,halt,behavior,-0.37,1.5,1.16
usfullsurveyor2015,handcuff,behavior,-1.11,2.01,1.79
usfullsurveyor2015,handicapped_person,identity,0.56,-0.72,-1.03
usfullsurveyor2015,handsome,modifier,2.26,2.1,0.51
usfullsurveyor2015,handyman,identity,1.76,1.04,0.46
usfullsurveyor2015,happy,modifier,3.44,2.93,0.92
usfullsurveyor2015,harangue,behavior,-1.31,0.32,1.25
usfullsurveyor2015,harass,behavior,-2.88,0.3,1.6
usfullsurveyor2015,hardworking,modifier,2.96,2.6,0.86
usfullsurveyor2015,harm,behavior,-3.26,1.35,1.3
usfullsurveyor2015,has_been,identity,-0.87,-2.02,-0.94
usfullsurveyor2015,hassle,behavior,-2.3,0.3,2.02
usfullsurveyor2015,hassled,modifier,-2.63,-0.66,1.67
usfullsurveyor2015,hate,behavior,-2.77,0.8,0.04
usfullsurveyor2015,haughty,modifier,-1.69,0.01,1
usfullsurveyor2015,haunt,behavior,-2.6,1.87,-0.88
usfullsurveyor2015,have_a_heart_to_heart_talk_with,behavior,2.87,2.73,-1.13
usfullsurveyor2015,have_an_affair_with,behavior,-3.26,0.61,0.11
usfullsurveyor2015,have_sex_with,behavior,2.09,2.45,1.74
usfullsurveyor2015,haze,behavior,-2.82,1.15,1.52
usfullsurveyor2015,heal,behavior,3.32,3.22,-0.62
usfullsurveyor2015,heart_broken,modifier,-2.83,-0.85,-1.41
usfullsurveyor2015,heavy_hearted,modifier,-1.32,0.31,-1.7
usfullsurveyor2015,heckle,behavior,-1.99,0.22,1.86
usfullsurveyor2015,heel,identity,0.15,0.26,0.28
usfullsurveyor2015,help,behavior,3.57,3.23,0.17
usfullsurveyor2015,helper,identity,2.79,1.92,0.38
usfullsurveyor2015,helpful,modifier,3.29,2.9,0.46
usfullsurveyor2015,helpless,modifier,-2.73,-2.83,-1.94
usfullsurveyor2015,henchman,identity,-1.83,-0.11,0.53
usfullsurveyor2015,hermit,identity,-0.05,-1.28,-2.29
usfullsurveyor2015,hero,identity,3.63,3.45,1.54
usfullsurveyor2015,hesitant,modifier,-0.37,-0.9,-1.77
usfullsurveyor2015,heterosexual,identity,1.29,1.03,0.31
usfullsurveyor2015,hick,identity,-0.44,-0.77,0.57
usfullsurveyor2015,hide,behavior,-0.21,0.79,-1.16
usfullsurveyor2015,hide_from,behavior,-0.82,-0.86,-1.37
usfullsurveyor2015,hillbilly,identity,-0.46,-1.09,0.38
usfullsurveyor2015,hinder,behavior,-2.01,0.35,-0.21
usfullsurveyor2015,hindu,identity,0.76,0.14,-0.66
usfullsurveyor2015,hippie,identity,0.77,-0.47,-0.31
usfullsurveyor2015,hipster,identity,0.05,-0.54,-0.15
usfullsurveyor2015,hire,behavior,2.23,2.39,0.11
usfullsurveyor2015,hispanic_american,identity,1.15,-0.02,0.31
usfullsurveyor2015,hispanic_man,identity,0.57,-0.07,0.57
usfullsurveyor2015,hispanic_woman,identity,1.11,0.05,0.92
usfullsurveyor2015,hit,behavior,-2.66,1.3,2.12
usfullsurveyor2015,hold,behavior,2.87,2.27,-1.29
usfullsurveyor2015,hold_up,behavior,-1.29,1.16,0.67
usfullsurveyor2015,holler_at,behavior,-0.6,0.54,2.52
usfullsurveyor2015,homeless_person,identity,-0.57,-2.43,-1.02
usfullsurveyor2015,homesick,modifier,-1.73,-0.08,-1.39
usfullsurveyor2015,homosexual,identity,0.4,0.07,0.63
usfullsurveyor2015,honest,modifier,3.27,2.93,0.1
usfullsurveyor2015,honor,behavior,3.08,2.74,-0.04
usfullsurveyor2015,honorable,modifier,3.34,2.86,-0.18
usfullsurveyor2015,hoodwink,behavior,-1.79,0.73,0.33
usfullsurveyor2015,hooker,identity,-1.2,-1.29,1.01
usfullsurveyor2015,hookup_with,behavior,0.53,0.45,1.89
usfullsurveyor2015,hopeful,modifier,2.64,2.15,-0.69
usfullsurveyor2015,hopeless,modifier,-3.21,-2.36,-2.29
usfullsurveyor2015,horny,modifier,1.01,1.34,1.55
usfullsurveyor2015,horrified,modifier,-2.56,0.13,0.75
usfullsurveyor2015,horrify,behavior,-2.3,1.44,1.47
usfullsurveyor2015,horse_around_with,behavior,0.68,0.84,2.05
usfullsurveyor2015,host,identity,2.08,1.62,1.26
usfullsurveyor2015,hostage,identity,-1.42,-2.91,-1.33
usfullsurveyor2015,hostess,identity,1.94,0.39,0.92
usfullsurveyor2015,hostile,modifier,-2.7,0.62,1.39
usfullsurveyor2015,hothead,identity,-1.92,-0.42,2.59
usfullsurveyor2015,hotheaded,modifier,-2.19,-0.06,2.37
usfullsurveyor2015,hotshot,identity,-0.88,0.89,2.32
usfullsurveyor2015,hound,behavior,-1.57,0.08,1.48
usfullsurveyor2015,house_guest,identity,1.38,-0.18,0.24
usfullsurveyor2015,housebreaker,identity,-2.82,0.84,0.74
usfullsurveyor2015,housekeeper,identity,1.4,-0.74,-0.53
usfullsurveyor2015,housewife,identity,1.79,0.39,-0.14
usfullsurveyor2015,hug,behavior,2.91,2.16,-0.28
usfullsurveyor2015,humane,modifier,3.03,2.43,-0.17
usfullsurveyor2015,humble,behavior,1.81,1.89,-0.52
usfullsurveyor2015,humble,modifier,3.02,1.83,-1.85
usfullsurveyor2015,humiliate,behavior,-3.24,0.82,1.27
usfullsurveyor2015,humiliated,modifier,-3.1,-1.06,0.54
usfullsurveyor2015,humor,behavior,2.13,1.65,1.08
usfullsurveyor2015,hunk,identity,0.91,1.69,1.01
usfullsurveyor2015,hunt_for,behavior,-1.4,1.07,0.07
usfullsurveyor2015,hurry,behavior,-0.46,0.75,2.04
usfullsurveyor2015,hurt,behavior,-3.17,1.06,0.92
usfullsurveyor2015,hurt,modifier,-2.67,0.24,-1.04
usfullsurveyor2015,husband,identity,1.95,1.64,0.38
usfullsurveyor2015,hush,behavior,-0.74,0.72,0.21
usfullsurveyor2015,hustle,behavior,-2.41,0.96,1.34
usfullsurveyor2015,hypnotize,behavior,-0.11,1.92,-0.79
usfullsurveyor2015,hypochondriac,identity,-1.13,-1.69,0.43
usfullsurveyor2015,hypocrite,identity,-2.6,-1.23,1.11
usfullsurveyor2015,idealistic,modifier,1.56,1.11,0.59
usfullsurveyor2015,idealize,behavior,0.04,0.77,-0.04
usfullsurveyor2015,identify,behavior,1.27,1.1,0.16
usfullsurveyor2015,idiot,identity,-2.11,-1.86,0.41
usfullsurveyor2015,idolize,behavior,-0.18,-0.15,0.05
usfullsurveyor2015,ignorant,modifier,-2.77,-2.1,-0.12
usfullsurveyor2015,ignore,behavior,-1.73,0.53,-1.27
usfullsurveyor2015,ill_at_ease,modifier,-1.91,-0.85,-1.19
usfullsurveyor2015,illegitimate_child,identity,-0.68,-0.63,0.04
usfullsurveyor2015,imaginative,modifier,2.71,2.53,0.46
usfullsurveyor2015,imam,identity,0.17,1.2,-0.14
usfullsurveyor2015,imbecile,identity,-2.41,-1.87,-0.08
usfullsurveyor2015,imitate,behavior,-0.97,-0.32,0.64
usfullsurveyor2015,immature,modifier,-2.07,-1.79,1.43
usfullsurveyor2015,immigrant,identity,0.63,-0.66,-0.29
usfullsurveyor2015,immigration_officer,identity,0.14,1.63,0.72
usfullsurveyor2015,immoral,modifier,-2.45,-0.36,0.8
usfullsurveyor2015,impatient,modifier,-1.9,-1.04,0.98
usfullsurveyor2015,impede,behavior,-1.57,1.06,0.94
usfullsurveyor2015,implicate,behavior,-0.79,0.76,0.52
usfullsurveyor2015,implore,behavior,0.68,0.62,0.63
usfullsurveyor2015,impolite,modifier,-2.67,-0.1,1.33
usfullsurveyor2015,impractical,modifier,-1.66,-1.1,0.48
usfullsurveyor2015,impressionable,modifier,1.04,0.91,0.22
usfullsurveyor2015,imprison,behavior,-1.29,2.22,0.2
usfullsurveyor2015,impulsive,modifier,-0.5,0.25,2.16
usfullsurveyor2015,in_law,identity,0.5,0.93,1.13
usfullsurveyor2015,incarcerate,behavior,-0.57,1.98,0.42
usfullsurveyor2015,incite,behavior,-0.54,1.35,0.96
usfullsurveyor2015,incompetent,modifier,-2.66,-2.34,-1.03
usfullsurveyor2015,inconsiderate,modifier,-3.05,-0.64,0.72
usfullsurveyor2015,inconspicuous,modifier,0.5,0.33,-1.91
usfullsurveyor2015,incredulous,modifier,-0.27,0.05,0.47
usfullsurveyor2015,incriminate,behavior,-1.39,1.28,0.97
usfullsurveyor2015,indecent,modifier,-2.28,-0.66,1.29
usfullsurveyor2015,indecisive,modifier,-1.47,-1.56,-1.28
usfullsurveyor2015,independent,modifier,2.66,2.67,0.57
usfullsurveyor2015,indifferent,modifier,-0.51,-0.53,-1.4
usfullsurveyor2015,indignant,modifier,-0.81,-0.17,0.38
usfullsurveyor2015,indoctrinate,behavior,-0.13,1.87,0.04
usfullsurveyor2015,indolent,modifier,-0.67,-0.58,-0.1
usfullsurveyor2015,indulge,behavior,0.89,0.94,0.39
usfullsurveyor2015,indulgent,modifier,-0.28,0,0.54
usfullsurveyor2015,industrious,modifier,2.05,2.03,1.48
usfullsurveyor2015,inexact,modifier,-1.28,-0.61,-0.17
usfullsurveyor2015,inexperienced,modifier,-0.94,-1.59,-0.69
usfullsurveyor2015,infant,identity,2.26,-2.35,1.23
usfullsurveyor2015,infatuated,modifier,0.27,-0.01,0.8
usfullsurveyor2015,influence,behavior,0.82,2.54,0.33
usfullsurveyor2015,inform,behavior,2.18,2.19,0.3
usfullsurveyor2015,informant,identity,0.32,1.49,-0
usfullsurveyor2015,informer,identity,0.47,1.34,0.17
usfullsurveyor2015,infuriate,behavior,-2.22,1.57,1.69
usfullsurveyor2015,inhibited,modifier,-1.12,-0.74,-0.84
usfullsurveyor2015,inject_with_medicine,behavior,1.04,1.88,-0.39
usfullsurveyor2015,injure,behavior,-2.96,1.34,1.19
usfullsurveyor2015,inmate,identity,-1.75,-1.63,0.35
usfullsurveyor2015,innocent,identity,1.91,-0.72,-0.99
usfullsurveyor2015,innocent,modifier,1.82,0.16,-1.18
usfullsurveyor2015,inquisitive,modifier,2.09,1.63,0.84
usfullsurveyor2015,insane,modifier,-1.77,-1.07,1.4
usfullsurveyor2015,insecure,modifier,-2.65,-1.18,-1.55
usfullsurveyor2015,insensitive,modifier,-2.28,-0.31,0.6
usfullsurveyor2015,insider,identity,0.62,1.9,-0.28
usfullsurveyor2015,insincere,modifier,-2.81,-0.74,-0.38
usfullsurveyor2015,inspect,behavior,-0.09,0.86,-0.33
usfullsurveyor2015,inspector,identity,0.57,1.54,-0.67
usfullsurveyor2015,inspire,behavior,3.37,3.3,0.39
usfullsurveyor2015,instruct,behavior,2.03,2.32,0.49
usfullsurveyor2015,instructor,identity,1.74,2.11,0.56
usfullsurveyor2015,insult,behavior,-2.6,-0.06,1.4
usfullsurveyor2015,insurance_agent,identity,0.52,0.68,0.24
usfullsurveyor2015,insurance_claims_investigator,identity,0.07,1.22,-0.06
usfullsurveyor2015,intellectual,identity,2.15,2.48,0.11
usfullsurveyor2015,intellectual,modifier,3.07,2.93,-0.03
usfullsurveyor2015,intelligent,modifier,3.08,3.09,0.65
usfullsurveyor2015,interest,behavior,2.06,1.94,0.57
usfullsurveyor2015,interested,modifier,2.37,1.66,0.13
usfullsurveyor2015,interfere_with,behavior,-1.36,0.76,0.99
usfullsurveyor2015,intern,identity,1.41,-1.39,0.05
usfullsurveyor2015,interpreter,identity,2.26,1.97,0.8
usfullsurveyor2015,interrogate,behavior,-0.7,1.84,1.05
usfullsurveyor2015,interrogator,identity,-0.4,2.05,1.09
usfullsurveyor2015,interrupt,behavior,-1.99,0.39,1.84
usfullsurveyor2015,interview,behavior,1.32,1.76,0.34
usfullsurveyor2015,interviewer,identity,0.57,1.71,0.78
usfullsurveyor2015,intimate,identity,2.04,1.77,-0.15
usfullsurveyor2015,intimidate,behavior,-1.8,1.4,1.11
usfullsurveyor2015,intimidated,modifier,-2.48,-1.29,-0.26
usfullsurveyor2015,intolerant,modifier,-2.46,-0.56,0.55
